Name,GeoID,Gini Index
"Ben Hill County, Georgia",05000US13017,0.4719
"Berrien County, Georgia",05000US13019,0.4322
"Bibb County, Georgia",05000US13021,0.5076
"Bleckley County, Georgia",05000US13023,0.4825
"Brantley County, Georgia",05000US13025,0.4179
"Brooks County, Georgia",05000US13027,0.499
"Bryan County, Georgia",05000US13029,0.4085
"Bulloch County, Georgia",05000US13031,0.4915
"Burke County, Georgia",05000US13033,0.4739
"Butts County, Georgia",05000US13035,0.3939
"Calhoun County, Georgia",05000US13037,0.5419
"Camden County, Georgia",05000US13039,0.3955
"Candler County, Georgia",05000US13043,0.4366
"Carroll County, Georgia",05000US13045,0.4318
"Catoosa County, Georgia",05000US13047,0.4028
"Charlton County, Georgia",05000US13049,0.455
"Chatham County, Georgia",05000US13051,0.4736
"Chattahoochee County, Georgia",05000US13053,0.3582
"Chattooga County, Georgia",05000US13055,0.4225
"Cherokee County, Georgia",05000US13057,0.4012
"Clarke County, Georgia",05000US13059,0.5521
"Clay County, Georgia",05000US13061,0.4508
"Clayton County, Georgia",05000US13063,0.4099
"Clinch County, Georgia",05000US13065,0.4439
"Cobb County, Georgia",05000US13067,0.4483
"Coffee County, Georgia",05000US13069,0.4738
"Colquitt County, Georgia",05000US13071,0.4775
"Columbia County, Georgia",05000US13073,0.4153
"Cook County, Georgia",05000US13075,0.4575
"Coweta County, Georgia",05000US13077,0.3962
"Crawford County, Georgia",05000US13079,0.4262
"Crisp County, Georgia",05000US13081,0.4651
"Dade County, Georgia",05000US13083,0.4304
"Dawson County, Georgia",05000US13085,0.4226
"Decatur County, Georgia",05000US13087,0.5085
"DeKalb County, Georgia",05000US13089,0.4833
"Dodge County, Georgia",05000US13091,0.4258
"Dooly County, Georgia",05000US13093,0.4845
"Dougherty County, Georgia",05000US13095,0.5166
"Douglas County, Georgia",05000US13097,0.4004
"Early County, Georgia",05000US13099,0.484
"Echols County, Georgia",05000US13101,0.4789
"Effingham County, Georgia",05000US13103,0.3784
"Elbert County, Georgia",05000US13105,0.4378
"Emanuel County, Georgia",05000US13107,0.4715
"Evans County, Georgia",05000US13109,0.4361
"Fannin County, Georgia",05000US13111,0.4257
"Fayette County, Georgia",05000US13113,0.4106
"Floyd County, Georgia",05000US13115,0.4595
"Forsyth County, Georgia",05000US13117,0.4054
"Franklin County, Georgia",05000US13119,0.4456
"Fulton County, Georgia",05000US13121,0.5356
"Gilmer County, Georgia",05000US13123,0.4665
"Glascock County, Georgia",05000US13125,0.4111
"Glynn County, Georgia",05000US13127,0.4705
"Gordon County, Georgia",05000US13129,0.4407
"Grady County, Georgia",05000US13131,0.5015
"Greene County, Georgia",05000US13133,0.5509
"Gwinnett County, Georgia",05000US13135,0.4222
"Habersham County, Georgia",05000US13137,0.4253
"Hall County, Georgia",05000US13139,0.4492
"Hancock County, Georgia",05000US13141,0.4493
"Haralson County, Georgia",05000US13143,0.4386
"Harris County, Georgia",05000US13145,0.4307
"Hart County, Georgia",05000US13147,0.4741
"Heard County, Georgia",05000US13149,0.4208
"Henry County, Georgia",05000US13151,0.3802
"Houston County, Georgia",05000US13153,0.4074
"Irwin County, Georgia",05000US13155,0.4497
"Jackson County, Georgia",05000US13157,0.4113
"Jasper County, Georgia",05000US13159,0.4508
"Jeff Davis County, Georgia",05000US13161,0.4307
"Jefferson County, Georgia",05000US13163,0.4452
"Jenkins County, Georgia",05000US13165,0.5081
"Johnson County, Georgia",05000US13167,0.4702
"Jones County, Georgia",05000US13169,0.424
"Lamar County, Georgia",05000US13171,0.4284
"Lanier County, Georgia",05000US13173,0.4553
"Laurens County, Georgia",05000US13175,0.4861
"Lee County, Georgia",05000US13177,0.4228
"Liberty County, Georgia",05000US13179,0.4174
"Lincoln County, Georgia",05000US13181,0.4473
"Long County, Georgia",05000US13183,0.3793
"Lowndes County, Georgia",05000US13185,0.4695
"Lumpkin County, Georgia",05000US13187,0.4403
"McDuffie County, Georgia",05000US13189,0.4439
"McIntosh County, Georgia",05000US13191,0.4259
"Macon County, Georgia",05000US13193,0.4222
"Madison County, Georgia",05000US13195,0.432
"Marion County, Georgia",05000US13197,0.4299
"Meriwether County, Georgia",05000US13199,0.4285
"Miller County, Georgia",05000US13201,0.4837
"Mitchell County, Georgia",05000US13205,0.458
"Monroe County, Georgia",05000US13207,0.4215
"Montgomery County, Georgia",05000US13209,0.4444
"Morgan County, Georgia",05000US13211,0.4887
"Murray County, Georgia",05000US13213,0.4148
"Muscogee County, Georgia",05000US13215,0.4783
"Newton County, Georgia",05000US13217,0.4013
"Oconee County, Georgia",05000US13219,0.4372
"Oglethorpe County, Georgia",05000US13221,0.4062
"Paulding County, Georgia",05000US13223,0.3655
"Peach County, Georgia",05000US13225,0.4491
"Pickens County, Georgia",05000US13227,0.449
"Pierce County, Georgia",05000US13229,0.4224
"Pike County, Georgia",05000US13231,0.3759
"Polk County, Georgia",05000US13233,0.445
"Pulaski County, Georgia",05000US13235,0.4355
"Putnam County, Georgia",05000US13237,0.5101
"Quitman County, Georgia",05000US13239,0.3733
"Rabun County, Georgia",05000US13241,0.4905
"Randolph County, Georgia",05000US13243,0.5452
"Richmond County, Georgia",05000US13245,0.4627
"Rockdale County, Georgia",05000US13247,0.4067
"Schley County, Georgia",05000US13249,0.4695
"Screven County, Georgia",05000US13251,0.4683
"Seminole County, Georgia",05000US13253,0.4746
"Spalding County, Georgia",05000US13255,0.4468
"Stephens County, Georgia",05000US13257,0.4385
"Stewart County, Georgia",05000US13259,0.4618
"Sumter County, Georgia",05000US13261,0.4746
"Talbot County, Georgia",05000US13263,0.4987
"Taliaferro County, Georgia",05000US13265,0.4398
"Tattnall County, Georgia",05000US13267,0.4658
"Taylor County, Georgia",05000US13269,0.4817
"Telfair County, Georgia",05000US13271,0.491
"Terrell County, Georgia",05000US13273,0.4519
"Thomas County, Georgia",05000US13275,0.5152
"Tift County, Georgia",05000US13277,0.4812
"Toombs County, Georgia",05000US13279,0.4822
"Towns County, Georgia",05000US13281,0.4285
"Treutlen County, Georgia",05000US13283,0.4997
"Troup County, Georgia",05000US13285,0.4685
"Turner County, Georgia",05000US13287,0.5054
"Twiggs County, Georgia",05000US13289,0.5165
"Union County, Georgia",05000US13291,0.4613
"Upson County, Georgia",05000US13293,0.4214
"Walker County, Georgia",05000US13295,0.4478
"Walton County, Georgia",05000US13297,0.4199
"Ware County, Georgia",05000US13299,0.4711
"Warren County, Georgia",05000US13301,0.48
"Washington County, Georgia",05000US13303,0.4692
"Wayne County, Georgia",05000US13305,0.4492
"Webster County, Georgia",05000US13307,0.4612
"Wheeler County, Georgia",05000US13309,0.414
"White County, Georgia",05000US13311,0.4555
"Whitfield County, Georgia",05000US13313,0.4547
"Wilcox County, Georgia",05000US13315,0.469
"Wilkes County, Georgia",05000US13317,0.4702
"Wilkinson County, Georgia",05000US13319,0.4012
"Worth County, Georgia",05000US13321,0.4316
"Hawaii County, Hawaii",05000US15001,0.4524
"Honolulu County, Hawaii",05000US15003,0.4207
"Kalawao County, Hawaii",05000US15005,0.3161
"Kauai County, Hawaii",05000US15007,0.4113
"Maui County, Hawaii",05000US15009,0.4387
"Adair County, Iowa",05000US19001,0.4024
"Adams County, Iowa",05000US19003,0.4564
"Allamakee County, Iowa",05000US19005,0.3832
"Appanoose County, Iowa",05000US19007,0.4053
"Audubon County, Iowa",05000US19009,0.4231
"Benton County, Iowa",05000US19011,0.3699
"Black Hawk County, Iowa",05000US19013,0.4286
"Boone County, Iowa",05000US19015,0.4122
"Bremer County, Iowa",05000US19017,0.3987
"Buchanan County, Iowa",05000US19019,0.4072
"Buena Vista County, Iowa",05000US19021,0.4192
"Butler County, Iowa",05000US19023,0.3816
"Calhoun County, Iowa",05000US19025,0.4259
"Carroll County, Iowa",05000US19027,0.41
"Cass County, Iowa",05000US19029,0.4273
"Cedar County, Iowa",05000US19031,0.3517
"Cerro Gordo County, Iowa",05000US19033,0.44
"Cherokee County, Iowa",05000US19035,0.3982
"Chickasaw County, Iowa",05000US19037,0.4078
"Clarke County, Iowa",05000US19039,0.4316
"Clay County, Iowa",05000US19041,0.4412
"Clayton County, Iowa",05000US19043,0.3976
"Clinton County, Iowa",05000US19045,0.4042
"Crawford County, Iowa",05000US19047,0.4127
"Dallas County, Iowa",05000US19049,0.4209
"Davis County, Iowa",05000US19051,0.4281
"Decatur County, Iowa",05000US19053,0.4659
"Delaware County, Iowa",05000US19055,0.3783
"Des Moines County, Iowa",05000US19057,0.4472
"Dickinson County, Iowa",05000US19059,0.4376
"Dubuque County, Iowa",05000US19061,0.4195
"Emmet County, Iowa",05000US19063,0.4797
"Fayette County, Iowa",05000US19065,0.4005
"Floyd County, Iowa",05000US19067,0.4232
"Franklin County, Iowa",05000US19069,0.4174
"Fremont County, Iowa",05000US19071,0.421
"Greene County, Iowa",05000US19073,0.4283
"Grundy County, Iowa",05000US19075,0.4004
"Guthrie County, Iowa",05000US19077,0.3982
"Hamilton County, Iowa",05000US19079,0.4343
"Hancock County, Iowa",05000US19081,0.373
"Hardin County, Iowa",05000US19083,0.4057
"Harrison County, Iowa",05000US19085,0.3893
"Henry County, Iowa",05000US19087,0.4555
"Howard County, Iowa",05000US19089,0.4198
"Humboldt County, Iowa",05000US19091,0.4067
"Ida County, Iowa",05000US19093,0.4318
"Iowa County, Iowa",05000US19095,0.4109
"Jackson County, Iowa",05000US19097,0.4205
"Jasper County, Iowa",05000US19099,0.4025
"Jefferson County, Iowa",05000US19101,0.4573
"Johnson County, Iowa",05000US19103,0.4675
"Jones County, Iowa",05000US19105,0.3773
"Keokuk County, Iowa",05000US19107,0.3928
"Kossuth County, Iowa",05000US19109,0.4517
