date,player,rank
2007-09-17,Amelie Mauresmo,10
2007-09-24,Amelie Mauresmo,12
2007-10-01,Amelie Mauresmo,12
2007-10-08,Amelie Mauresmo,11
2007-10-15,Amelie Mauresmo,13
2007-10-22,Amelie Mauresmo,13
2007-10-29,Amelie Mauresmo,13
2007-11-05,Amelie Mauresmo,13
2007-11-12,Amelie Mauresmo,18
2007-11-19,Amelie Mauresmo,18
2007-11-26,Amelie Mauresmo,18
2007-12-03,Amelie Mauresmo,18
2007-12-10,Amelie Mauresmo,18
2007-12-17,Amelie Mauresmo,18
2007-12-24,Amelie Mauresmo,18
2007-12-31,Amelie Mauresmo,18
2008-01-07,Amelie Mauresmo,18
2008-01-14,Amelie Mauresmo,18
2008-01-21,Amelie Mauresmo,18
2008-01-28,Amelie Mauresmo,18
2008-02-04,Amelie Mauresmo,18
2008-02-11,Amelie Mauresmo,19
2008-02-18,Amelie Mauresmo,22
2008-02-25,Amelie Mauresmo,29
2008-03-03,Amelie Mauresmo,27
2008-03-10,Amelie Mauresmo,27
2008-03-17,Amelie Mauresmo,27
2008-03-24,Amelie Mauresmo,24
2008-03-31,Amelie Mauresmo,24
2008-04-07,Amelie Mauresmo,24
2008-04-14,Amelie Mauresmo,21
2008-04-21,Amelie Mauresmo,21
2008-04-28,Amelie Mauresmo,21
2008-05-05,Amelie Mauresmo,19
2008-05-12,Amelie Mauresmo,23
2008-05-19,Amelie Mauresmo,24
2008-05-26,Amelie Mauresmo,29
2008-06-02,Amelie Mauresmo,29
2008-06-09,Amelie Mauresmo,30
2008-06-16,Amelie Mauresmo,30
2008-06-23,Amelie Mauresmo,33
2008-06-30,Amelie Mauresmo,33
2008-07-07,Amelie Mauresmo,36
2008-07-14,Amelie Mauresmo,36
2008-07-21,Amelie Mauresmo,37
2008-07-28,Amelie Mauresmo,36
2008-08-04,Amelie Mauresmo,36
2008-08-11,Amelie Mauresmo,35
2008-08-18,Amelie Mauresmo,33
2008-08-25,Amelie Mauresmo,29
2008-09-01,Amelie Mauresmo,29
2008-09-08,Amelie Mauresmo,24
2008-09-15,Amelie Mauresmo,23
2008-09-22,Amelie Mauresmo,25
2008-09-29,Amelie Mauresmo,25
2008-10-06,Amelie Mauresmo,25
2008-10-13,Amelie Mauresmo,22
2008-10-20,Amelie Mauresmo,24
2008-10-27,Amelie Mauresmo,24
2008-11-03,Amelie Mauresmo,24
2008-11-10,Amelie Mauresmo,24
2008-11-17,Amelie Mauresmo,24
2008-11-24,Amelie Mauresmo,24
2008-12-01,Amelie Mauresmo,24
2008-12-08,Amelie Mauresmo,24
2008-12-15,Amelie Mauresmo,24
2008-12-22,Amelie Mauresmo,24
2008-12-29,Amelie Mauresmo,24
2009-01-05,Amelie Mauresmo,23
2009-01-12,Amelie Mauresmo,22
2009-01-19,Amelie Mauresmo,22
2009-01-26,Amelie Mauresmo,22
2009-02-02,Amelie Mauresmo,23
2009-02-09,Amelie Mauresmo,24
2009-02-16,Amelie Mauresmo,19
2009-02-23,Amelie Mauresmo,19
2009-03-02,Amelie Mauresmo,20
2009-03-09,Amelie Mauresmo,20
2009-03-16,Amelie Mauresmo,20
2009-03-23,Amelie Mauresmo,20
2009-03-30,Amelie Mauresmo,20
2009-04-06,Amelie Mauresmo,19
2009-04-13,Amelie Mauresmo,21
2009-04-20,Amelie Mauresmo,21
2009-04-27,Amelie Mauresmo,21
2009-05-04,Amelie Mauresmo,21
2009-05-11,Amelie Mauresmo,21
2009-05-18,Amelie Mauresmo,16
2009-05-25,Amelie Mauresmo,16
2009-06-01,Amelie Mauresmo,16
2009-06-08,Amelie Mauresmo,17
2009-06-15,Amelie Mauresmo,17
2009-06-22,Amelie Mauresmo,17
2009-06-29,Amelie Mauresmo,17
2009-07-06,Amelie Mauresmo,16
2009-07-13,Amelie Mauresmo,16
2009-07-20,Amelie Mauresmo,16
2009-07-27,Amelie Mauresmo,16
2009-08-03,Amelie Mauresmo,15
2009-08-10,Amelie Mauresmo,15
2009-08-17,Amelie Mauresmo,16
2009-08-24,Amelie Mauresmo,18
2009-08-31,Amelie Mauresmo,17
2009-09-07,Amelie Mauresmo,17
2009-09-14,Amelie Mauresmo,20
