point,x,y,hitBy,shotType,result
98,257,40,Cibulkova,Backhand,Unforced Error
98,135,170,Cibulkova,Second Serve,In
98,116,118,Cibulkova,First Serve,Out
99,257,85,Cibulkova,Forehand,Winner
99,204,157,Cibulkova,First Serve,In
100,172,233,Safina,Backhand,Unforced Error
100,109,151,Cibulkova,Second Serve,In
100,114,136,Cibulkova,First Serve,Out
101,273,379,Safina,Backhand,Winner
101,194,151,Cibulkova,First Serve,In
102,168,403,Safina,Lob,Winner
102,96,158,Cibulkova,First Serve,In
103,152,233,Cibulkova,Forehand,Unforced Error
103,229,154,Cibulkova,Second Serve,In
103,208,134,Cibulkova,First Serve,Out
104,295,36,Safina,Forehand,Unforced Error
104,110,155,Safina,First Serve,In
105,239,233,Safina,Second Serve,Out
105,181,133,Safina,First Serve,Out
106,278,66,Safina,Forehand,Winner
106,166,148,Safina,First Serve,In
107,127,42,Safina,Forehand,Unforced Error
107,281,152,Safina,First Serve,In
108,131,435,Cibulkova,Backhand Return,Unforced Error
108,172,163,Safina,Second Serve,In
108,79,130,Safina,First Serve,Out
109,124,145,Safina,Forehand Volley,Winner
109,276,177,Safina,First Serve,In
110,84,378,Cibulkova,Backhand Return,Forced Error
110,144,164,Safina,First Serve,In
111,282,159,Safina,First Serve,Ace
112,264,62,Safina,Forehand,Winner
112,165,167,Safina,First Serve,In
113,200,233,Safina,Backhand,Unforced Error
113,195,149,Safina,First Serve,In
114,180,152,Safina,First Serve,Forced Error
115,236,136,Safina,Second Serve,Out
115,254,234,Safina,First Serve,Out
116,124,425,Cibulkova,Backhand,Unforced Error
116,173,158,Safina,First Serve,In
117,211,233,Cibulkova,Forehand,Unforced Error
117,204,153,Safina,First Serve,In
118,82,414,Cibulkova,Forehand,Forced Error
118,262,319,Cibulkova,First Serve,In
119,85,54,Safina,Backhand,Winner
119,131,305,Cibulkova,Second Serve,In
119,173,330,Cibulkova,First Serve,Out
120,119,234,Safina,Backhand,Unforced Error
120,254,316,Cibulkova,First Serve,In
121,283,48,Safina,Forehand,Forced Error
121,161,324,Cibulkova,First Serve,In
122,71,54,Safina,Forehand Return,Unforced Error
122,254,315,Cibulkova,Second Serve,In
122,221,233,Cibulkova,First Serve,Out
123,89,387,Cibulkova,Forehand,Winner
123,121,314,Cibulkova,First Serve,In
124,243,330,Safina,Second Serve,Out
124,265,334,Safina,First Serve,Out
125,90,375,Safina,Forehand,Winner
125,118,316,Safina,Second Serve,In
125,74,331,Safina,First Serve,Out
126,281,81,Cibulkova,Forehand,Forced Error
126,275,303,Safina,First Serve,In
127,272,411,Safina,Forehand,Forced Error
127,170,308,Safina,First Serve,In
128,115,41,Cibulkova,Forehand,Unforced Error
128,263,317,Safina,First Serve,In
129,195,232,Cibulkova,Backhand Return,Unforced Error
129,102,302,Safina,Second Serve,In
129,137,233,Safina,First Serve,Out
130,103,135,Cibulkova,Second Serve,Out
130,86,131,Cibulkova,First Serve,Out
131,140,233,Cibulkova,Forehand,Unforced Error
131,250,147,Cibulkova,Second Serve,In
131,203,132,Cibulkova,First Serve,Out
132,273,97,Cibulkova,Backhand,Winner
132,144,146,Cibulkova,Second Serve,In
132,176,233,Cibulkova,First Serve,Out
133,87,419,Safina,Forehand,Winner
133,192,153,Cibulkova,First Serve,In
134,127,146,Cibulkova,First Serve,Forced Error
135,220,232,Cibulkova,Backhand,Unforced Error
135,195,155,Cibulkova,First Serve,In
