point,x,y,hitBy,shotType,result
117,158,157,Federer,Second Serve,Forced Error
117,162,234,Federer,First Serve,Out
118,271,146,Federer,First Serve,Forced Error
119,79,69,Nadal,Backhand,Forced Error
119,170,162,Nadal,First Serve,In
120,132,233,Nadal,Backhand,Unforced Error
120,267,163,Nadal,First Serve,In
121,58,9,Nadal,Forehand,Unforced Error
121,171,152,Nadal,First Serve,In
122,291,393,Federer,Backhand,Unforced Error
122,260,150,Nadal,First Serve,In
123,76,162,Nadal,Second Serve,Ace
123,97,133,Nadal,First Serve,Out
124,258,170,Nadal,First Serve,Forced Error
125,208,423,Federer,Backhand,Unforced Error
125,199,312,Federer,Second Serve,In
125,197,232,Federer,First Serve,Out
126,77,318,Federer,First Serve,Ace
127,91,161,Nadal,Forehand Pass,Forced Error
127,206,324,Federer,First Serve,In
128,71,395,Federer,Forehand,Unforced Error
128,156,310,Federer,Second Serve,In
128,68,326,Federer,First Serve,Out
129,101,399,Federer,Forehand,Forced Error
129,250,305,Federer,Second Serve,In
129,291,317,Federer,First Serve,Out
130,84,400,Federer,Forehand Volley,Forced Error
130,162,316,Federer,First Serve,In
131,83,64,Nadal,Forehand Return,Forced Error
131,251,313,Federer,Second Serve,In
131,247,234,Federer,First Serve,Out
132,77,119,Nadal,Backhand Pass,Winner
132,169,311,Federer,First Serve,In
133,149,87,Federer,Backhand Volley,Forced Error
133,191,311,Nadal,First Serve,In
134,79,314,Nadal,First Serve,Forced Error
135,279,38,Federer,Forehand,Unforced Error
135,198,313,Nadal,First Serve,In
136,123,397,Nadal,Forehand,Winner
136,88,303,Nadal,First Serve,In
137,123,40,Federer,Forehand,Unforced Error
137,190,320,Nadal,First Serve,In
138,239,279,Nadal,Backhand Pass,Forced Error
138,174,160,Federer,First Serve,In
139,282,396,Nadal,Forehand Volley,Winner
139,215,147,Federer,First Serve,In
140,237,42,Federer,Forehand,Unforced Error
140,160,173,Federer,First Serve,In
141,181,161,Federer,First Serve,Ace
142,168,140,Federer,First Serve,Forced Error
143,283,171,Federer,First Serve,Forced Error
144,95,428,Nadal,Forehand,Unforced Error
144,167,141,Federer,First Serve,In
145,268,71,Federer,Forehand Volley,Winner
145,193,160,Federer,First Serve,In
146,139,136,Nadal,Second Serve,Out
146,161,135,Nadal,First Serve,Out
147,259,144,Nadal,First Serve,Forced Error
148,109,423,Federer,Backhand,Unforced Error
148,170,155,Nadal,First Serve,In
149,291,400,Federer,Forehand,Unforced Error
149,264,175,Nadal,First Serve,In
150,94,427,Federer,Backhand,Unforced Error
150,153,145,Nadal,First Serve,In
151,78,46,Nadal,Forehand,Winner
151,204,321,Federer,Second Serve,In
151,191,233,Federer,First Serve,Out
152,92,56,Nadal,Forehand,Forced Error
152,256,183,Nadal,First Serve,In
153,239,258,Federer,Backhand,Forced Error
153,153,169,Nadal,First Serve,In
154,89,402,Federer,Forehand,Winner
154,100,307,Federer,First Serve,In
155,91,404,Federer,Forehand,Forced Error
155,253,307,Federer,Second Serve,In
155,290,332,Federer,First Serve,Out
156,105,41,Nadal,Forehand Volley,Unforced Error
156,281,176,Nadal,First Serve,In
157,265,59,Federer,Forehand Volley,Forced Error
157,196,316,Nadal,First Serve,In
158,83,388,Nadal,Backhand Pass,Winner
158,193,157,Federer,First Serve,In
159,96,203,Federer,Drop Shot,Forced Error
159,78,161,Federer,First Serve,In
160,109,48,Federer,Backhand Return,Forced Error
160,84,302,Nadal,Second Serve,In
160,188,233,Nadal,First Serve,Out
161,101,264,Federer,Drop Shot,Forced Error
161,152,161,Nadal,Second Serve,In
161,148,233,Nadal,First Serve,Out
162,265,154,Nadal,Backhand Volley,Winner
162,284,158,Nadal,First Serve,In
163,290,388,Federer,Backhand,Unforced Error
163,177,159,Nadal,First Serve,In
164,116,181,Nadal,Backhand Pass,Forced Error
164,262,144,Nadal,First Serve,In
165,155,149,Nadal,First Serve,Forced Error
166,197,233,Federer,Forehand,Unforced Error
166,162,164,Federer,Second Serve,In
166,176,233,Federer,First Serve,Out
167,92,304,Nadal,Backhand Pass,Forced Error
167,192,143,Federer,First Serve,In
168,75,161,Federer,First Serve,Forced Error
169,264,145,Federer,Backhand Volley,Winner
169,252,161,Federer,First Serve,In
170,165,145,Federer,First Serve,Forced Error
171,79,77,Federer,Forehand,Forced Error
171,185,165,Federer,First Serve,In
172,128,271,Nadal,Backhand Volley,Forced Error
172,222,316,Nadal,First Serve,In
173,88,133,Federer,Forehand,Winner
173,160,310,Nadal,Second Serve,In
173,71,313,Nadal,First Serve,Out
174,142,233,Federer,Backhand,Unforced Error
174,212,321,Nadal,First Serve,In
175,118,232,Nadal,Second Serve,Out
175,103,232,Nadal,First Serve,Out
176,100,386,Nadal,Forehand,Forced Error
176,208,312,Nadal,First Serve,In
177,87,392,Nadal,Forehand,Winner
177,83,305,Nadal,First Serve,In
178,246,323,Federer,Backhand Volley,Winner
178,280,313,Federer,Second Serve,In
178,289,314,Federer,First Serve,Out
179,264,71,Nadal,Backhand Pass,Winner
179,92,321,Federer,First Serve,In
180,232,372,Federer,Forehand,Winner
180,276,317,Federer,First Serve,In
181,254,434,Federer,Forehand,Unforced Error
181,108,303,Federer,Second Serve,In
181,166,233,Federer,First Serve,Out
182,283,74,Nadal,Forehand,Forced Error
182,240,312,Federer,Second Serve,In
182,298,326,Federer,First Serve,Out
183,132,233,Federer,Backhand,Unforced Error
183,165,312,Federer,Second Serve,In
183,59,312,Federer,First Serve,Out
184,84,383,Federer,Backhand,Forced Error
184,170,161,Nadal,First Serve,In
185,106,234,Federer,Forehand,Unforced Error
185,256,180,Nadal,First Serve,In
186,166,160,Nadal,First Serve,Forced Error
187,86,111,Nadal,Forehand Volley,Winner
187,250,151,Nadal,First Serve,In
